5/8/2019, 11:18:11 AM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,1.52,-6.14E-09,,
,1.522,-6.14E-09,,
,1.524,-6.14E-09,,
,1.526,-6.14E-09,,
,1.528,-6.15E-09,,
,1.53,-6.15E-09,,
,1.532,-6.14E-09,,
,1.534,-6.14E-09,,
,1.536,-6.14E-09,,
,1.538,-6.14E-09,,
,1.54,-6.14E-09,,
,1.542,-6.14E-09,,
,1.544,-6.14E-09,,
,1.546,-6.14E-09,,
,1.548,-6.14E-09,,
,1.55,-6.14E-09,,
,1.552,-6.14E-09,,
,1.554,-6.15E-09,,
,1.556,-6.15E-09,,
,1.558,-6.15E-09,,
,1.56,-6.15E-09,,
,1.562,-6.14E-09,,
,1.564,-6.14E-09,,
,1.566,-6.13E-09,,
,1.568,-6.12E-09,,
,1.57,-6.11E-09,,
,1.572,-6.11E-09,,
,1.574,-6.11E-09,,
,1.576,-6.11E-09,,
,1.578,-6.12E-09,,
,1.58,-6.13E-09,,
,1.582,-6.12E-09,,
,1.584,-6.11E-09,,
,1.586,-6.11E-09,,
,1.588,-6.10E-09,,
,1.59,-6.10E-09,,
,1.592,-6.09E-09,,
,1.594,-6.09E-09,,
,1.596,-6.08E-09,,
,1.598,-6.08E-09,,
,1.6,-6.07E-09,,
,1.602,-6.07E-09,,
,1.604,-6.06E-09,,
,1.606,-6.06E-09,,
,1.608,-6.05E-09,,
,1.61,-6.05E-09,,
,1.612,-6.04E-09,,
,1.614,-6.03E-09,,
,1.616,-6.03E-09,,
,1.618,-6.02E-09,,
,1.62,-6.01E-09,,
,1.622,-6.00E-09,,
,1.624,-5.99E-09,,
,1.626,-5.98E-09,,
,1.628,-5.97E-09,,
,1.63,-5.95E-09,,
,1.632,-5.94E-09,,
,1.634,-5.92E-09,,
,1.636,-5.91E-09,,
,1.638,-5.89E-09,,
,1.64,-5.87E-09,,
,1.642,-5.84E-09,,
,1.644,-5.82E-09,,
,1.646,-5.80E-09,,
,1.648,-5.77E-09,,
,1.65,-5.75E-09,,
,1.652,-5.72E-09,,
,1.654,-5.70E-09,,
,1.656,-5.67E-09,,
,1.658,-5.64E-09,,
,1.66,-5.61E-09,,
,1.662,-5.58E-09,,
,1.664,-5.56E-09,,
,1.666,-5.52E-09,,
,1.668,-5.49E-09,,
,1.67,-5.46E-09,,
,1.672,-5.42E-09,,
,1.674,-5.39E-09,,
,1.676,-5.35E-09,,
,1.678,-5.31E-09,,
,1.68,-5.27E-09,,
,1.682,-5.23E-09,,
,1.684,-5.19E-09,,
,1.686,-5.15E-09,,
,1.688,-5.10E-09,,
,1.69,-5.06E-09,,
,1.692,-5.02E-09,,
,1.694,-4.97E-09,,
,1.696,-4.93E-09,,
,1.698,-4.88E-09,,
,1.7,-4.83E-09,,
,1.702,-4.79E-09,,
,1.704,-4.74E-09,,
,1.706,-4.69E-09,,
,1.708,-4.64E-09,,
,1.71,-4.59E-09,,
,1.712,-4.54E-09,,
,1.714,-4.49E-09,,
,1.716,-4.43E-09,,
,1.718,-4.38E-09,,
,1.72,-4.33E-09,,
,1.722,-4.28E-09,,
,1.724,-4.23E-09,,
,1.726,-4.19E-09,,
,1.728,-4.14E-09,,
,1.73,-4.09E-09,,
,1.732,-4.04E-09,,
,1.734,-4.00E-09,,
,1.736,-3.95E-09,,
,1.738,-3.90E-09,,
,1.74,-3.85E-09,,
,1.742,-3.81E-09,,
,1.744,-3.76E-09,,
,1.746,-3.72E-09,,
,1.748,-3.67E-09,,
,1.75,-3.63E-09,,
,1.752,-3.58E-09,,
,1.754,-3.54E-09,,
,1.756,-3.50E-09,,
,1.758,-3.46E-09,,
,1.76,-3.42E-09,,
,1.762,-3.38E-09,,
,1.764,-3.33E-09,,
,1.766,-3.26E-09,,
,1.768,-3.15E-09,,
,1.77,-3.02E-09,,
,1.772,-2.85E-09,,
,1.774,-2.65E-09,,
,1.776,-2.43E-09,,
